u,d
-15.0,4.0817794020556266e-10
-14.5,6.382925474454162e-10
-14.0,9.966908044518385e-10
-13.5,1.5539373596474595e-9
-13.0,2.4187692301331996e-9
-12.5,3.7583113509176126e-9
-12.0,5.828652185671066e-9
-11.5,9.020864094596825e-9
-11.0,1.3929764782707772e-8
-10.5,2.145580354969461e-8
-10.0,3.295428760261912e-8
-9.5,5.045114224902451e-8
-9.0,7.694884900526251e-8
-8.5,1.1685086475955618e-7
-8.0,1.7653158182726386e-7
-7.5,2.6507309140290606e-7
-7.0,3.9516333700487963e-7
-6.5,5.841149397158381e-7
-6.0,8.54876729754725e-7
-5.5,1.2368544976416376e-6
-5.0,1.766182193865583e-6
-4.5,2.485154523101174e-6
-4.0,3.4403940425087486e-6
-3.5,4.6796101809642735e-6
-3.0,6.247044798834651e-6
-2.5,8.178076699826051e-6
-2.0,1.0493733526382716e-5
-1.5,1.3196574255949108e-5
-1.0,1.6267962317394633e-5
-0.5,1.9668250575366292e-5
0.0,2.3339351388726697e-5
0.5,2.7209168947103764e-5
1.0,3.119765969153141e-5
1.5,3.522273750264842e-5
2.0,3.9205860250509216e-5
2.5,4.307634162512567e-5
3.0,4.6774617513751894e-5
3.5,5.025345207025615e-5
4.0,5.347855610573056e-5
4.5,5.642787708176319e-5
5.0,5.908381068716511e-5
5.5,6.146420216206909e-5
6.0,6.355557560807448e-5
6.5,6.537646109906821e-5
7.0,6.69433418694542e-5
7.5,6.827583657027969e-5
8.0,6.939548423832546e-5
8.5,7.03248096307644e-5
9.0,7.108648292997593e-5
9.5,7.170268110236605e-5
10.0,7.219452296177307e-5
10.5,7.258171312582368e-5
11.0,7.288224689606869e-5
11.5,7.311210148690226e-5
12.0,7.32852891618478e-5
12.5,7.341383164130435e-5
13.0,7.35077600121114e-5
13.5,7.357532581849097e-5
14.0,7.362316599163357e-5
14.5,7.365652277529823e-5
15.0,7.367937393179755e-5
