u,d
-15.0,9.720269751601289e-11
-14.5,1.526297529344003e-10
-14.0,2.3937059294357847e-10
-13.5,3.7492555135051643e-10
-13.0,5.864532982162877e-10
-12.5,9.160187983283762e-10
-12.0,1.4286406534509424e-9
-11.5,2.224595433399615e-9
-11.0,3.4581955271113232e-9
-10.5,5.366280966840323e-9
-10.0,8.311403568137648e-9
-9.5,1.2846864820557413e-8
-9.0,1.9814607554892197e-8
-8.5,3.049076717669914e-8
-8.0,4.680261407873034e-8
-7.5,7.164727305097161e-8
-7.0,1.0935712686457839e-7
-6.5,1.663697364802303e-7
-6.0,2.521750526961121e-7
-5.5,3.8062159072070235e-7
-5.0,5.716483844110184e-7
-4.5,8.534542073385512e-7
-4.0,1.2649734157846676e-6
-3.5,1.858254722713296e-6
-3.0,2.6999388270663994e-6
-2.5,3.870546392850463e-6
-2.0,5.4599906061390255e-6
-1.5,7.5580437779177985e-6
-1.0,1.0239699684981484e-5
-0.5,1.3547603197680678e-5
0.0,1.7475990542105148e-5
0.5,2.19616598866941e-5
1.0,2.688544849387081e-5
1.5,3.20854982062326e-5
2.0,3.7378052887316786e-5
2.5,4.2580660715381524e-5
3.0,4.753208507726727e-5
3.5,5.210549220047274e-5
4.0,5.6214222355073685e-5
4.5,5.981105194491822e-5
5.0,6.288329020976598e-5
5.5,6.544579553637742e-5
6.0,6.753355090492539e-5
6.5,6.919464750516875e-5
7.0,7.048476846174648e-5
7.5,7.146199986663462e-5
8.0,7.218292305954444e-5
8.5,7.270074175826807e-5
9.0,7.306232302045202e-5
9.5,7.330755178903982e-5
10.0,7.346900027000899e-5
10.5,7.357207571559863e-5
11.0,7.363588884994616e-5
11.5,7.367416777539266e-5
12.0,7.36964140214957e-5
12.5,7.370895059678521e-5
13.0,7.371579430624153e-5
13.5,7.371938664910222e-5
14.0,7.372123013460338e-5
14.5,7.372215689477454e-5
15.0,7.372258959355568e-5
