r,rnn_0,rnn_6,rnn_9,rnn_15,d_0,d_6,d_9,d_15,mu_0,mu_6,mu_9,mu_15
-20,24.10825766328231,20.228111376813384,19.077910952554546,17.60881751462796,4.373603537588448e-12,1.4931405354928195e-10,4.196951159480881e-10,1.554286813518302e-9,1.0930630871791589e-11,7.821676506520518e-10,2.4418660554288897e-9,9.939048890483981e-9
-19,23.108335217024766,19.229762491892366,18.080067737815384,16.61164883359612,1.0924027242199173e-11,3.662887002732617e-10,1.022713943357679e-9,3.750618140450735e-9,2.970953204415822e-11,2.11118018847907e-9,6.5883675804244066e-9,2.675794177664774e-8
-18,22.108334849501837,18.23463643571752,17.086410272538885,15.619930271846167,2.71854204558158e-11,8.911686339985588e-10,2.4678364913186722e-9,8.94271593351677e-9,8.075966237326481e-11,5.660693563662185e-9,1.7581212467227184e-8,7.103969687649857e-8
-17,21.10833600363461,17.246330608794246,16.101534118890484,14.639485317405182,6.737795718989528e-11,2.1422754727528447e-9,5.869260464530595e-9,2.094510432330202e-8,2.1953335628908976e-10,1.492494124580193e-8,4.6019972533804606e-8,1.8411471735865e-7
-16,20.10834013594176,16.270296135699297,15.13231124617308,13.678841131372097,1.6624777774474777e-10,5.061060366347666e-9,1.3666902988852672e-8,4.779886405284093e-8,5.967390166266808e-10,3.839309560938511e-8,1.1685408624915906e-7,4.598760410007319e-7
-15,19.108354546248215,15.313909079301308,14.187887094116535,12.749040743371392,4.0817794020556266e-10,1.1668911227574701e-8,3.089588274895319e-8,1.0522527738128561e-7,1.6219796936225753e-9,9.530169630990133e-8,2.843326476197598e-7,1.090499541694542e-6
-14,18.10840192247988,14.386125238895564,13.279181983776727,11.862866879143851,9.966908044518385e-10,2.6043181748582164e-8,6.715101834216309e-8,2.209962251629871e-7,4.40804649857886e-9,2.2553994066070813e-7,6.531466462387572e-7,2.416179634692998e-6
-13,17.10854856351873,13.496461654397189,12.417634024884684,11.033302291057575,2.4187692301331996e-9,5.5795214337473166e-8,1.3896293872504169e-7,4.381341558328603e-7,1.1975373643049824e-8,5.031938470961846e-7,1.3981250250599558e-6,4.9305807043139055e-6
-12,16.10896789490587,12.653389019644322,11.613320040972088,10.271470337650394,5.828652185671066e-9,1.1393250926301136e-7,2.716047823101938e-7,8.131544731201508e-7,3.2500652004480244e-8,1.050013102033346e-6,2.7618340805207206e-6,9.168730036596253e-6
-11,15.110085747777797,11.862422822642833,10.872886920560013,9.584648178005558,1.3929764782707772e-8,2.208000519715365e-7,4.990383077889439e-7,1.4065139440753156e-6,8.800510586542699e-8,2.045160383161404e-6,5.016209852292477e-6,1.546694682564702e-5
-10,14.112862370563084,11.124597128596571,10.197892402795086,8.974880895141407,3.295428760261912e-8,4.0602315894378296e-7,8.618745430430492e-7,2.2679645054135897e-6,2.371486728489251e-7,3.740035485570765e-6,8.416606967933615e-6,2.3740428024922105e-5
-9,13.119280942528377,10.435859415577786,9.584071177659364,8.43845782949004,7.694884900526251e-8,7.11318594356979e-7,1.405855147952851e-6,3.4263570748236534e-6,6.329032527402841e-7,6.512208986143151e-6,1.3231916747688974e-5,3.3544659110901846e-5
-8,12.133074693773498,9.787833947160628,9.021808948489706,7.9662266008273095,1.7653158182726386e-7,1.1960897998098806e-6,2.1851896380686306e-6,4.894251571689575e-6,1.6601010267793765e-6,1.100909511251723e-5,1.9953106392403615e-5,4.461184539687942e-5
-7,11.16059655284504,9.169904781980804,8.49789139898128,7.544683785817231,3.9516333700487963e-7,1.9475421436761293e-6,3.273311060203618e-6,6.689142453461384e-6,4.228616158108442e-6,1.840663889966862e-5,2.9557795452163978e-5,5.7299504061863655e-5
-6,10.211520942172076,8.572222380531096,7.998454297382234,7.15792854954093,8.54876729754725e-7,3.0943735937246932e-6,4.7783560262932015e-6,8.86209162553668e-6,1.0296538829641148e-5,3.074712916561081e-5,4.401096206101291e-5,7.356418398471063e-5
-5,9.298836787758285,7.988714239918498,7.512349953915668,6.790495346447146,1.766182193865583e-6,4.8178197775054024e-6,6.854730923994649e-6,1.1516597754265876e-5,2.3522582216940386e-5,5.120600604986758e-5,6.631360253427284e-5,9.647742557796561e-5
-4,8.437719208697885,7.419053739265489,7.034048152327518,6.430597711151954,3.4403940425087486e-6,7.3467416134251855e-6,9.697627374114013e-6,1.4803847483753585e-5,4.9465273516444446e-5,8.385511357201146e-5,0.0001001670165115435,0.00012972024890714462
-3,7.643196565099605,6.868776944616662,6.564793862775705,6.07269580274042,6.247044798834651e-6,1.0919543964274988e-5,1.3507537244811848e-5,1.888640289575937e-5,9.42254949122333e-5,0.00013247455235862595,0.00014883440509206312,0.0001762043523170606
-2,6.927464930691543,6.34747853306253,6.111594223189618,5.718188016256503,1.0493733526382716e-5,1.5705250507178396e-5,1.842059515011315e-5,2.387437831113974e-5,0.00016087594244951168,0.0001981547762676841,0.00021299280309294288,0.00023621073513019334
-1,6.2978904290430195,5.86590790699646,5.684528788281649,5.373883328170399,1.6267962317394633e-5,2.170576994598261e-5,2.442430148675347e-5,2.9753756170450377e-5,0.0002454512964747624,0.0002766867509463826,0.0002883250285046756,0.00030553462332101903
0,5.756418476507051,5.433114406365484,5.293602874917525,5.049158399899473,2.3339351388726697e-5,2.869462462362643e-5,3.130406458122782e-5,3.6339761166326846e-5,0.0003356495941367172,0.000357380352846285,0.00036494308459264203,0.0003750651798114514
