u,t_0,t_01,t_02,t_03,t_04,t_05,t_06
-25.0,0.14626795422177571,0.1332288790505513,0.12141740256312315,0.11071589471433009,0.10101774647655763,0.09222628588362788,0.08425471269423102
-24.5,0.08871603055432893,0.08080734342394973,0.07364334767762179,0.06715256289420983,0.061270283191050816,0.05593808004344184,0.05110306059009673
-24.0,0.05380899055239142,0.04901211356898766,0.0446669751153809,0.04073012038469415,0.03716222365540154,0.03392812459951736,0.03099553460410157
-23.5,0.03263679978411646,0.029727367039518053,0.02709188107004212,0.02470403039829737,0.022540056953856767,0.02057845677330185,0.01879970520596119
-23.0,0.01979522181650566,0.018030566266535358,0.016432046999046747,0.014983762950500204,0.013671241030479408,0.01248146067743551,0.011402620157601254
-22.5,0.012006408989532796,0.010936090909754264,0.009966545961194177,0.009088100630432569,0.008292026693552532,0.007570386913900538,0.006916039689088312
-22.0,0.007282256358467373,0.006633075101053635,0.006044970167644814,0.005512220546331459,0.005029369150837891,0.004591676087539342,0.004194799630753276
-21.5,0.004416901941785455,0.004023165355802047,0.003666492385434109,0.003343333197538742,0.0030504747430126116,0.0027849995223148648,0.002544276763502162
-21.0,0.002678992691126863,0.002440172744683232,0.0022238462087740755,0.0020278429347444595,0.0018502154420482883,0.0016891987876932436,0.0015431952465661718
-20.5,0.0016248912933259723,0.0014800450810289628,0.0013488377342994048,0.001229959044415696,0.0011222242457122568,0.0010245694015121628,0.0009360098957805859
-20.0,0.0009854738127949726,0.0008976981383197859,0.0008181209161410894,0.0007460206067101546,0.000680679229300084,0.0006214480959534468,0.0005677375311538093
-19.5,0.000597763970956947,0.0005444872665329556,0.0004962272863839873,0.00045250007001130924,0.00041287094175185073,0.0003769496419117224,0.00034437553513981344
-19.0,0.0003625643436072362,0.00033025574982086084,0.0003009906854790313,0.00027447417271956904,0.00025044414237622095,0.00022865792005084324,0.00020890241811856713
-18.5,0.00021990525140108008,0.0002003180669885492,0.000182574199637298,0.0001664967289809854,0.00015192522225274127,0.00013871553576403478,0.00012673669887422345
-18.0,0.0001333791790142197,0.00012150692360502425,0.00011075156232816898,0.00010100493108646816,9.217122108679045e-5,8.416259902396968e-5,7.690040698849195e-5
-17.5,8.089861935565794e-5,7.370524752648729e-5,6.718777402836729e-5,6.128153248483315e-5,5.5927887402579217e-5,5.107376805338894e-5,4.6671308843424936e-5
-17.0,4.9067700977720784e-5,4.471137322563347e-5,4.076404163847497e-5,3.718644154627199e-5,3.3943104431765756e-5,3.100201717731881e-5,2.8334286849594394e-5
-16.5,2.976102394218045e-5,2.712491503067925e-5,2.4735772642817774e-5,2.2569968801104397e-5,2.060615790884698e-5,1.8824998135812238e-5,1.7209028992384222e-5
-16.0,1.805102122307686e-5,1.645729828247386e-5,1.5012525285611152e-5,1.3702384691004078e-5,1.2514129971368365e-5,1.1436121771522945e-5,1.0457776443037852e-5
-15.5,1.0948562751026216e-5,9.986168979896164e-6,9.11340330332774e-6,8.321735387873364e-6,7.603416664337326e-6,6.951442303552978e-6,6.359560816938527e-6
-15.0,6.640716064890016e-6,6.060449352756891e-6,5.5339390672604e-6,5.056115975488491e-6,4.62235001905913e-6,4.228477629211709e-6,3.870704064008123e-6
-14.5,4.027881636369055e-6,3.6786473274469755e-6,3.3615708390267865e-6,3.073618664908331e-6,2.81205639168533e-6,2.574382729946413e-6,2.358353626562183e-6
-14.0,2.4431243613725544e-6,2.233407092529829e-6,2.0428435599214553e-6,1.8696421419988208e-6,1.712175745615897e-6,1.568972517929804e-6,1.438698391890986e-6
-13.5,1.481927628006965e-6,1.3563227852169124e-6,1.2420729541469846e-6,1.1381218623678101e-6,1.0435188784560596e-6,9.573857816205462e-7,8.789486841282469e-7
-13.0,8.989364554385699e-7,8.23941367994559e-7,7.556380635621453e-7,6.934132612230584e-7,6.367053997009314e-7,5.850128345004843e-7,5.378733014084751e-7
-12.5,5.453388986803448e-7,5.007208947814339e-7,4.600205034270061e-7,4.228835412091922e-7,3.88986934496461e-7,3.580378394255339e-7,3.297692735984156e-7
