T,eta,sigma,mu,D
100,5.78480001498169,9.010826447973468e-32,2.459737217100572e-7,9.654847370254774e-9
150,7.068314210661007,3.051036001062084e-22,6.821737857730663e-7,3.1199875637760366e-8
200,6.628494067095364,2.6055243590397592e-17,5.985982443007399e-6,3.0360004247991975e-7
250,4.69268622414779,2.8131530464974994e-14,3.3563256661518214e-5,1.8755488318094248e-6
300,3.404222475644973,3.2091240538015584e-12,8.908558564107831e-5,5.447314925935705e-6
320,3.090925200391888,1.4296554735188935e-11,0.00011531683434565504,7.295633568611682e-6
340,2.8486569444767085,5.371568151120902e-11,0.00014207673354087083,9.290067436307532e-6
360,2.6585157600997897,1.7497830137225053e-10,0.00016850087823478684,1.1373955338908621e-5
380,2.508710061618506,5.04911905549372e-10,0.00019395226448391188,1.3504410510883495e-5
400,2.3871141227809214,1.3138795416110987e-9,0.00021783576659766137,1.5629314960402772e-5
