r,xf
-15.0,0.1254061779940343
-14.5,0.1254053603263278
-14.0,0.12540446432729235
-13.5,0.12539179060105926
-13.0,0.1254061106824228
-12.5,0.12540672548006562
-12.0,0.12540598614299112
-11.5,0.1254081971663365
-11.0,0.12540675921366562
-10.5,0.1254061868449512
-10.0,0.12540516398587548
-9.5,0.12536130304680104
-9.0,0.12539551736012017
-8.5,0.12538448444873607
-8.0,0.1253533291992684
-7.5,0.12529903524453306
-7.0,0.1251968963586702
-6.5,0.12501344839653952
-6.0,0.12469508184161819
-5.5,0.12416429465841222
-5.0,0.1233153682869076
-4.5,0.12201258361529868
-4.0,0.1200991792149598
-3.5,0.11740662038583344
-3.0,0.11378145625322637
-2.5,0.10912014394884319
-2.0,0.1033934005918588
-1.5,0.09667094575213618
-1.0,0.08912469089206454
-0.5,0.08100598911042756
0.0,0.0726139830158104
0.5,0.06424647202229196
1.0,0.05616432042181048
1.5,0.048567752812305943
2.0,0.041587878005672395
2.5,0.035288465736106625
3.0,0.029687696587410307
3.5,0.024762758917818685
4.0,0.02047004042792831
4.5,0.01675632069947075
5.0,0.013565061497229544
5.5,0.010843069260056733
6.0,0.008543170646284983
6.5,0.006615882067083757
7.0,0.005030517672421737
7.5,0.003751056136114304
8.0,0.002723301170394806
8.5,0.0019315196352441373
9.0,0.0013338271118731899
9.5,0.0008953373353100589
10.0,0.0005835489209204345
10.5,0.0003689766752488265
11.0,0.00022617733160183493
11.5,0.00013438866994946574
12.0,7.732671757247498e-5
12.5,4.308707309990092e-5
13.0,2.324813064332912e-5
13.5,1.2144491935814788e-5
14.0,6.141967231353637e-6
14.5,3.0070207846556676e-6
15.0,1.4250608098641233e-6
